rank,id,repository,name,url,decision,decision_reason,description_en,team_reason,tags,limitations,source_evidence,stars_snapshot,live_checked_at,live_stars,live_archived,live_pushed_at,root_license,readme_url,readme_sha256,license_url,license_sha256,tested
1,966,omnigent-ai/omnigent,Omnigent,https://github.com/omnigent-ai/omnigent,建议审阅,团队功能明确；已补查官方仓库状态、README 与根许可证，进入用户审阅短名单。,"A multi-user workspace for sharing live agent sessions, co-driving work, and forking conversations across machines.",成员受邀加入、共享会话、共同操作或分叉继续任务，可连接组织身份登录，直接支持结对与交接。,"ai-native, collaboration, coding, handoff",co-drive 在原拥有者机器执行，必须明确共享权限；本地服务可达性与 OIDC 需正确部署。,README Collaborate with your team L486-540,10120,2026-09-21T16:15:03.562968+00:00,10135,False,2026-09-21T16:06:58Z,Apache-2.0,https://github.com/omnigent-ai/omnigent/blob/main/README.md,d0ddb9723beeb8ca192426a4ce332e94ea69de6318d998c3b4d36aefee20116e,https://github.com/omnigent-ai/omnigent/blob/main/LICENSE,a6cba85bc92e0cff7a450b1d873c0eaa2e9fc96bf472df0247a26bec77bf3ff9,False
2,1302,xerrors/Yuxi,Yuxi,https://github.com/xerrors/Yuxi,建议审阅,团队功能明确；已补查官方仓库状态、README 与根许可证，进入用户审阅短名单。,A self-hosted multi-tenant platform for agents and knowledge retrieval.,按租户、部门和成员共享知识库、智能体与技能，并管理权限和审批。,"ai-native, knowledge, teams",本体 MIT；组合部署组件各有许可证，未实测隔离。,README L18–25、280–295：多人工作区、权限及运行管理。,7140,2026-09-21T16:15:03.563550+00:00,7158,False,2026-09-21T03:17:49Z,MIT,https://github.com/xerrors/Yuxi/blob/main/README.md,902e3e7a29c91145b70700ed57176a29b3b2528a344c65c7e7de96185f690d6b,https://github.com/xerrors/Yuxi/blob/main/LICENSE,93ae1dca19d82831cfd514eb0f148f326a27f8d2d757662e8e2703a48658543e,False
3,5085,preset-io/agor,Agor,https://github.com/preset-io/agor,商业或许可边界待核,保留候选；先厘清团队能力的版本、服务与授权边界，再决定推荐写法。,A self-hosted workspace for running coding agents on isolated branches with shared sessions and project knowledge.,实时光标、评论、共享会话和环境；分支权限、个人凭据、费用记录和共享知识库。,"ai-native, collaboration, coding, self-hosted",README 明确 BSL 1.1 source-available，当前不能标为 OSI 开源；未部署实测。,README L7-12、L60-78、L125-131、L285-298,1406,,,,,,,,,,False
4,421,vxcontrol/pentagi,PentAGI,https://github.com/vxcontrol/pentagi,保留待深核,存在团队使用证据；本批未补查当前维护及许可全貌，保留下一轮重点核验。,"An AI security-testing platform with persistent investigation context, execution monitoring, and multi-user access.",安全团队管理用户、记录调查结果并观察测试过程，成员令牌继承角色权限以交接工作。,"security, testing, observability",只核验平台范围，未执行测试；不背书完全隔离、AGI 或自动发现效果。,README Features、multi-user L863、token permissions L1142,24795,,,,,,,,,,False
5,1275,akitaonrails/ai-memory,ai-memory,https://github.com/akitaonrails/ai-memory,保留待深核,存在团队使用证据；本批未补查当前维护及许可全貌，保留下一轮重点核验。,"A shared memory service with per-project knowledge, private handoffs, and user attribution.",成员在同一服务器共享项目经验，个人交接保持私有，支持身份与审计。,"memory, collaboration, handoff",不将竞品比较作为事实；需配置多用户与数据作用域。,README L38-41、Teams L315-320,7349,,,,,,,,,,False
6,2358,nextlevelbuilder/goclaw,GoClaw,https://github.com/nextlevelbuilder/goclaw,商业或许可边界待核,保留候选；先厘清团队能力的版本、服务与授权边界，再决定推荐写法。,A multi-tenant agent gateway with workspaces and task orchestration.,服务器版为团队隔离成员会话和工作区，集中管理代理与渠道接入。,"agents, teams",Lite 桌面版无 RBAC/多租户；CC BY-NC，不应写成可无条件商业使用。,README L67–72、Lite vs Standard、369：RBAC/多租户和版本。,3607,,,,,,,,,,False
7,2631,taylorwilsdon/google_workspace_mcp,Google Workspace MCP,https://github.com/taylorwilsdon/google_workspace_mcp,工程组件另列,团队价值主要通过工程集成实现，适合基础设施或开发组件栏目，不作为即用协作产品优先推荐。,Connect AI assistants to Workspace services with multi-user authentication.,团队集中接入文档、表格、邮件和日历，按用户 OAuth 与工具权限调用。,"mcp, teams",社区项目非 Google 官方；集中部署仍需自行配置 OAuth 与应用授权。,README L14、51、71、212、247：服务范围、多用户和只读过滤。,3198,,,,,,,,,,False
8,2683,kite-org/kite,Kite,https://github.com/kite-org/kite,保留待深核,存在团队使用证据；本批未补查当前维护及许可全貌，保留下一轮重点核验。,A Kubernetes workspace with access controls and AI-assisted troubleshooting.,运维团队按集群权限共享监控与排错，人工确认代理写操作并保留审计。,"operations, teams",默认清单给 cluster-admin，chart 为评估配置；不能称默认生产最小权限。,README L9、28–45、68、92：多集群、认证、RBAC 与部署边界。,3138,,,,,,,,,,False
9,6164,LodyAI/Lody,Lody,https://github.com/LodyAI/Lody,建议审阅,团队功能明确；已补查官方仓库状态、README 与根许可证，进入用户审阅短名单。,"A shared coding-agent workspace where teammates inspect conversations, dispatch work, and review changes across devices.",同事共看完整会话、执行状态、文件与 diff，追加指令；共享智能体预设并在跨设备界面审批权限。,"ai-native, collaboration, coding, review",机器默认私有，由所有者共享；文档工作区与整个工作区 local-first 仍属未来计划，不写成已支持。,README L33-36、L62-72、L127-144,1092,2026-09-21T16:15:13.630298+00:00,1096,False,2026-09-21T16:07:01Z,Apache-2.0,https://github.com/LodyAI/Lody/blob/main/README.md,f53993c3b610d9c1d8f20d454f08489b68cb664b08e8ff958227792ac0585dfd,https://github.com/LodyAI/Lody/blob/main/LICENSE,cfc7749b96f63bd31c3c42b5c471bf756814053e847c10f3eb003417bc523d30,False
10,190,agno-agi/agno,Agno,https://github.com/agno-agi/agno,工程组件另列,团队价值主要通过工程集成实现，适合基础设施或开发组件栏目，不作为即用协作产品优先推荐。,"An agent framework and runtime with human approvals, run observability, and multi-user access controls.",平台团队把智能体作为服务运行，按角色和租户分配权限，并统一管理人工审批与执行记录。,"agents, governance, observability",SDK、AgentOS runtime 和 UI 是不同层，不把框架本身说成开箱即用业务应用。,README L17-23、L38、L54-56,42273,,,,,,,,,,False
